Unnamed: 0,Randomized,Title,Year,Runtime,Director,Vote Avg,Vote Count,Genres,Country,Overview,Poster,Letterboxd URL,tmdb_id
, 1293 ,Le manoir du diable,1896,4.0,Georges Méliès,6.437,206,"Fantasy, Horror",France,"In a medieval castle, a dark magician thought to be Mephistopheles conjures up a series of bizarre creatures and events in order to torment a pair of interloping cavaliers.",https://image.tmdb.org/t/p/w500/n9uPKpQGlKrVRDe0NqDAhSzPSmB.jpg,https://letterboxd.com/tmdb/133063/,133063.0
, 1832 ,A Nightmare,1896,1.0,Georges Méliès,6.059,111,Horror,France,"A man has a fantastical nightmare involving, among other things, a grinning malevolent moon.",https://image.tmdb.org/t/p/w500/aB81KASGqn54LRFvQ0eeAkPkrxC.jpg,https://letterboxd.com/tmdb/104469/,104469.0
, 2938 ,A Terrible Night,1896,1.0,Georges Méliès,5.2,89,"Comedy, Horror",France,"A man tries to get a good night's sleep, but is disturbed by a giant spider that leaps onto his bed, and a battle ensues in hilarious comic fashion.",https://image.tmdb.org/t/p/w500/7UDpBTe9mSwGeHUo5DZ2VmUWZMy.jpg,https://letterboxd.com/tmdb/104462/,104462.0
, 4954 ,Le château hanté,1897,1.0,Georges Méliès,5.7,75,Horror,France,A man has an encounter with several spooky apparitions in a castle that is evidently owned by the Devil.,https://image.tmdb.org/t/p/w500/6nHr8cXcmaGMEfxzg6rcDsKTobU.jpg,https://letterboxd.com/tmdb/104471/,104471.0
, 4339 ,The X-Ray Fiend,1897,1.0,George Albert Smith,5.5,63,"Comedy, Horror",United Kingdom,"A romantic couple are transformed into skeletons via X-Rays. The film combines two very recent innovations: Wilhelm Roentgen's discovery of X-rays in 1895, and Georges Méliès' accidental realisation of the special-effects potential of the jump-cut in 1896.",https://image.tmdb.org/t/p/w500/9W5EcN51j8eNrxqUwbQfoS6HUgZ.jpg,https://letterboxd.com/tmdb/105166/,105166.0
, 6750 ,The Dancing Skeleton,1898,1.0,Louis Lumière,6.2,63,"Comedy, Fantasy, Horror",France,"A skeleton dances joyously, often collapsing into a heap of bones and quickly putting itself back together.",https://image.tmdb.org/t/p/w500/fancFxvdCvQ9E2cg45fS5vivhiV.jpg,https://letterboxd.com/tmdb/127391/,127391.0
, 1276 ,The Devil in a Convent,1899,3.0,Georges Méliès,6.313,75,"Horror, Comedy, Fantasy",France,"A priest is officiating at a convent, when suddenly he is transformed into the devil, who frightens away the nuns and turns the place into pandemonium.",https://image.tmdb.org/t/p/w500/yBpYAEb8k4QaZ8C7Er0CuN49X6N.jpg,https://letterboxd.com/tmdb/104704/,104704.0
, 2671 ,The Astronomer's Dream,1900,3.0,Georges Méliès,6.98,229,"Fantasy, Horror, Comedy",France,An astronomer has a terrifying dream.,https://image.tmdb.org/t/p/w500/hSboBoIJQ2APcVQYOcMSMrbrbhn.jpg,https://letterboxd.com/tmdb/104700/,104700.0
, 2851 ,How It Feels to Be Run Over,1900,1.0,Cecil M. Hepworth,6.0,43,Horror,United Kingdom,"As the camera looks down an open road, a horse and carriage approaches, and passes by to one side of the field of view. Soon afterwards, an automobile comes up the road, straight towards the camera. As it gets nearer, the occupants start to wave frantically, but can a collision be avoided?",https://image.tmdb.org/t/p/w500/4Tw5D7VqzbQmLH2M8ZX3FUMTRdF.jpg,https://letterboxd.com/tmdb/152031/,152031.0
, 6842 ,Bluebeard,1901,10.0,Georges Méliès,6.297,69,"Drama, Horror, Fantasy",France,"A young woman becomes the eighth wife of the wealthy Bluebeard, whose first seven wives have died under mysterious circumstances.",https://image.tmdb.org/t/p/w500/wQ05wN7yJM35iUMqa6dobIFG4Ju.jpg,https://letterboxd.com/tmdb/49275/,49275.0
, 3616 ,The Devil and the Statue,1901,2.0,Georges Méliès,5.354,41,"Romance, Horror, Fantasy, Drama",France,"At the beginning of the scene Romeo in his gondola sings to Juliet a sentimental song, then goes away. Hardly has he departed when the colonnade falls to pieces, disclosing the devil. Juliet, frightened, runs to the window and calls Romeo. The latter attempts to enter and protect his fiancée, but at a gesture from the devil the window is instantly covered with a grating and Romeo makes frantic efforts to break it. The devil begins to dance a wild dance before Juliet, who is beside herself from terror. The devil gradually becomes the size of a giant (a novel effect). Juliet implores the statue of Madonna, which becomes animated, descends from its pedestal, and stretching out its arms orders the devil to disappear. (Méliès Catalog)",https://image.tmdb.org/t/p/w500/tl4tipCCxZG8Mes6Lb0pS1Wlm0y.jpg,https://letterboxd.com/tmdb/107439/,107439.0
, 1638 ,The Treasures of Satan,1902,3.0,Georges Méliès,5.2,35,"Horror, Fantasy",France,"The setting of this fantastic scene represents the hall of an old chateau in which a miser has locked up seven large bags containing his wealth. Satan, who has made his way into the chateau, puts the seven bags in a strong box, and makes with his hands some cabalistic motions. The miser comes into the hall and is greatly astonished to find his fortune missing. He opens the coffer and immediately the bags leap out. He gathers them up and puts them back into the coffer. When he opens it again he finds that they have been transformed into seven young girls, who rush out and chase after him, beating him unmercifully. They shut him up in the coffer from which his gold has vanished. The miser pushes open the lid of the coffer, and to his profound despair finds that both young girls and money have disappeared. (This view is most sensational in its mysterious scenes.) (Star Film Catalog)",https://image.tmdb.org/t/p/w500/gB8pOSKywBR125NOb1i8QDwq3La.jpg,https://letterboxd.com/tmdb/108278/,108278.0
, 873 ,The Infernal Cauldron,1903,2.0,Georges Méliès,6.332,101,"Fantasy, Horror",France,A green-skinned demon places a woman and two courtiers into a flaming cauldron.,https://image.tmdb.org/t/p/w500/3KS5ZLXSB0iRKO5MSda8xxgLg2K.jpg,https://letterboxd.com/tmdb/16465/,16465.0
, 6456 ,The Monster,1903,3.0,Georges Méliès,6.056,63,"Fantasy, Horror",France,An Egyptian prince has lost his beloved wife and he has sought a dervish who dwells at the base of the sphinx.,https://image.tmdb.org/t/p/w500/xiDu4drCFoHqkO5MGnPqPiKf6Ry.jpg,https://letterboxd.com/tmdb/44449/,44449.0
, 3012 ,The Merry Frolics of Satan,1906,22.0,Georges Méliès,6.5,64,"Comedy, Fantasy, Horror",France,Two travellers are tormented by Satan from inn to inn and eventually experience a buggy ride through the heavens courtesy of the Devil before he takes one of them down to Hell and roasts him on a spit.,https://image.tmdb.org/t/p/w500/9849q4qp8wHWrhxQ3SUSOPmiluh.jpg,https://letterboxd.com/tmdb/137757/,137757.0
, 6052 ,The Bewitched House,1907,6.0,Segundo de Chomón,6.597,77,"Comedy, Fantasy, Animation, Horror",France,"A group of travellers go into a house for protection. Little do they know, it is filled with ghosts who make unusual things happen to them.",https://image.tmdb.org/t/p/w500/cbqlLso0yVgZnoFIZ63ylSxXkMN.jpg,https://letterboxd.com/tmdb/138730/,138730.0
, 5195 ,The Haunted Hotel,1907,7.0,J. Stuart Blackton,5.6,34,"Comedy, Animation, Horror",United States of America,"A traveler stays the night at a rural inn, but gets no rest as he is tormented by various spectres and mysterious happenings.",https://image.tmdb.org/t/p/w500/nxgjGJL0kQZWgj31QOPLx6gtcH.jpg,https://letterboxd.com/tmdb/139246/,139246.0
, 3876 ,The Sealed Room,1909,11.0,D.W. Griffith,5.118,34,"Romance, Drama, History, Horror",United States of America,"The Count sets out to make a private room for him and his Countess, built in such a way no one can see, hear, and most importantly, disturb them. But unbeknownst to the Count, his wife has set her eyes on the court minstrel. Based on Edgar Allan Poe's “The Cask of Amontillado” and Honoré de Balzac's “La Grande Breteche”.",https://image.tmdb.org/t/p/w500/4WvFZAlo5otviosadC7v6YLyMQE.jpg,https://letterboxd.com/tmdb/20650/,20650.0
, 1005 ,Frankenstein,1910,14.0,J. Searle Dawley,6.057,228,"Horror, Sci-Fi, Fantasy",United States of America,"Frankenstein, a young medical student, trying to create the perfect human being, instead creates a misshapen monster. Made ill by what he has done, Frankenstein is comforted by his fiancée; but on his wedding night he is visited by the monster.",https://image.tmdb.org/t/p/w500/xPzF7qW6FFZEzfsnsKqNOncxJNU.jpg,https://letterboxd.com/tmdb/2929/,2929.0
, 5570 ,Dante's Inferno,1911,72.0,Giuseppe de Liguoro,6.63,158,"Fantasy, Horror",Italy,"The classic tale of Dante's journey through hell, loosely adapted from the Divine Comedy and inspired by the illustrations of Gustav Doré. This historically important film stands as the first feature from Italy and the oldest fully-surviving feature in the world, and boasts beautiful sets and special effects that stand above other cinema of the era.",https://image.tmdb.org/t/p/w500/ky0z9hDlajlwL3fBqwsCSbjJGjR.jpg,https://letterboxd.com/tmdb/70512/,70512.0
, 1967 ,Dr. Jekyll and Mr. Hyde,1912,12.0,Lucius Henderson,5.9,38,Horror,United States of America,"Dr. Henry Jekyll experiments with scientific means of revealing the hidden, dark side of man and releases a murderer from within himself.",https://image.tmdb.org/t/p/w500/YMTH07LSvYr4AgG0mjVfbg8tx2.jpg,https://letterboxd.com/tmdb/130523/,130523.0
, 6658 ,Suspense.,1913,11.0,Lois Weber,7.0,107,"Drama, Thriller, Horror",United States of America,"Abandoned by her maidservant in an isolated country house, a mother must protect herself and her baby from an invading tramp while her husband races home in a stolen car to save them.",https://image.tmdb.org/t/p/w500/gSlKdlndjzIYwWblYSSZligMXuu.jpg,https://letterboxd.com/tmdb/105408/,105408.0
, 6030 ,The Avenging Conscience,1914,83.0,D.W. Griffith,5.939,33,"Drama, Horror",United States of America,"Thwarted by his despotic uncle from continuing his love affair, a young man's thoughts turn dark as he dwells on ways to deal with his uncle. Becoming convinced that murder is merely a natural part of life, he kills his uncle and hides the body. However, the man's conscience awakens; paranoia sets in and nightmarish visions begin to haunt him.",https://image.tmdb.org/t/p/w500/3NwXxPM7f3mHdlF6YylD3cao8CS.jpg,https://letterboxd.com/tmdb/28196/,28196.0
, 823 ,The Golem,1915,60.0,Paul Wegener,6.7,44,"Horror, Fantasy",Germany,"This mostly lost film is often confused with director Paul Wegener third and readily available interpretation of the legend; Der Golem, wie er in die Welt kam (1920). In this version of the golem legend, the golem, a clay statue brought to life by Rabbi Loew in 16th century Prague to save the Jews from the ongoing brutal persecution by the city's rulers, is found in the rubble of an old synagogue in the 20th century. Brought to life by an antique dealer, the golem is used as a menial servant. Eventually falling in love with the dealer's wife, it goes on a murderous rampage when its love for her goes unanswered.",https://image.tmdb.org/t/p/w500/vu5KgTbTqeCNu0uqOrESBfnw3EV.jpg,https://letterboxd.com/tmdb/10695/,10695.0
